Indexes,YAxis,EMCLOUD,SNP500,NASDAQ,FAANG,Fintech,Year,Quarter,Month,Date,,,,,,,,,,,,,,,,,,,,
EMCLOUD,2015Q1,1,1,1,1,1,2015,Q1,March,March 2015,,,,,,,,,,,,,,,,,,,,
S&P500,2015Q2,1,1,1,1,1,2015,Q2,June,June 2015,,,,,,,,,,,,,,,,,,,,
NASDAQ,2015Q3,1.1,1,1,1,1,2015,Q3,September,September 2015,,,,,,,,,,,,,,,,,,,,
FAANG Stock (W.A),2015Q4,1,0.9,0.9,1.1,1,2015,Q4,December,December 2015,,,,,,,,,,,,,,,,,,,,
Fintech Index,2016Q1,1.1,1,1,1.3,1,2016,Q1,March,March 2016,,,,,,,,,,,,,,,,,,,,
,2016Q2,1,1,1,1.3,1.1,2016,Q2,June,June 2016,,,,,,,,,,,,,,,,,,,,
,2016Q3,1.1,1,1,1.3,1,2016,Q3,September,September 2016,,,,,,,,,,,,,,,,,,,,
,2016Q4,1.3,1,1.1,1.5,1.2,2016,Q4,December,December 2016,,,,,,,,,,,,,,,,,,,,
,2017Q1,1.2,1.1,1.1,1.4,1.1,2017,Q1,March,March 2017,,,,,,,,,,,,,,,,,,,,
,2017Q2,1.5,1.1,1.2,1.6,1.3,2017,Q2,June,June 2017,,,,,,,,,,,,,,,,,,,,
,2017Q3,1.7,1.2,1.3,1.8,1.6,2017,Q3,September,September 2017,,,,,,,,,,,,,,,,,,,,
,2017Q4,1.8,1.2,1.3,1.8,1.8,2017,Q4,December,December 2017,,,,,,,,,,,,,,,,,,,,
,2018Q1,2,1.3,1.4,2.1,1.9,2018,Q1,March,March 2018,,,,,,,,,,,,,,,,,,,,
,2018Q2,2.4,1.3,1.4,2.4,2.2,2018,Q2,June,June 2018,,,,,,,,,,,,,,,,,,,,
,2018Q3,2.7,1.3,1.5,2.8,2.5,2018,Q3,September,September 2018,,,,,,,,,,,,,,,,,,,,
,2018Q4,3.3,1.4,1.6,3.1,3.1,2018,Q4,December,December 2018,,,,,,,,,,,,,,,,,,,,
,2019Q1,2.7,1.2,1.4,2.4,2.3,2019,Q1,March,March 2019,,,,,,,,,,,,,,,,,,,,
,2019Q2,3.6,1.4,1.6,2.9,2.9,2019,Q2,June,June 2019,,,,,,,,,,,,,,,,,,,,
,2019Q3,3.8,1.4,1.7,3,3.1,2019,Q3,September,September 2019,,,,,,,,,,,,,,,,,,,,
,2019Q4,3.5,1.4,1.6,2.8,2.9,2019,Q4,December,December 2019,,,,,,,,,,,,,,,,,,,,
,2020Q1,3.8,1.6,1.8,3.1,2.9,2020,Q1,March,March 2020,,,,,,,,,,,,,,,,,,,,
,2020Q2,3.6,1.2,1.6,3.1,2.6,2020,Q2,June,June 2020,,,,,,,,,,,,,,,,,,,,
,2020Q3,5.9,1.5,2.1,4.4,4.6,2020,Q3,September,September 2020,,,,,,,,,,,,,,,,,,,,
,2020Q4,6.4,1.6,2.3,4.9,4.8,2020,Q4,December,December 2020,,,,,,,,,,,,,,,,,,,,
,2021Q1,8.1,1.8,2.6,5.3,5.4,2021,Q1,March,March 2021,,,,,,,,,,,,,,,,,,,,
,2021Q2,7,1.9,2.7,5.1,4.8,2021,Q2,June,June 2021,,,,,,,,,,,,,,,,,,,,